ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
74,3-105-10/61สป,บริษัท ไทย เอ็นเตอร์ไพรส์ กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 488/12,2,เพิ่มชัย,บางพลี-ตำหรุ,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280.0,,45000000,30,418.0
75,3-105-106/59สป,บริษัท เจ.เจ.สยามอินเตอร์ เทเลวิชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 46/11-12,23,ที่ดินไทย,เทพารักษ์,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540.0,081 3741 300,107000000,70,175.5
76,3-105-107/60สป,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 53/11,5,ที่ดินไทย,เทพารักษ์,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540.0,,39000000,32,583.0
77,3-105-11/61สป,บริษัท หวางเสี่ยวตง อิเล็กทรอนิกส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 208,2,เก้าแสน,,บางเพรียง,บางบ่อ,สมุทรปราการ,10560.0,,19900000,25,455.0
78,3-105-116/60สป,บริษัท ประเสริฐพร เอ็นจิเนียริ่ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 95/9,9,,,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10130.0,02-8195133,43500000,20,60.0
79,3-105-120/60สป,บริษัท เหรียญทอง อีโค รีโนเวชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ โฉนดที่ดินเลขที่ 13913,13915",9,ปุ่นมีกิจ-อนุสรณ์,ศรีวารีน้อย,ศีรษะจรเข้น้อย,บางเสาธง,สมุทรปราการ,10570.0,,10000000,7,280.0
80,3-105-14/55สป,บริษัท มารีทรานส์ รีไซคลิง (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดเศษโลหะและพลาสติก,เลขที่ 13/5,8,สุขสวัสดิ์ 74,สุขสวัสดิ์,บางครุ,พระประแดง,สมุทรปราการ,10130.0,0 2539 4352,1000000,7,2.0
81,3-105-14/56สป,นางวัฒนา สมสอน,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 28/11,4,วัดใหญ่บางปลากด,สุขสวัสดิ์ ,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10290.0,869851278,1500000,10,0.0
82,3-105-14/58สป,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,เลขที่ -,2,ลำบางผี,บางพลี-ตำหรุ,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10250.0,,340000000,72,450.0
83,3-105-14/60สป,บริษัท สร้างเสริญ แมชชีนเนอรี่ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 122/42,6,-,เคหะ-ลาดหวาย,บางเพรียง,บางบ่อ,สมุทรปราการ,10560.0,,9224000,14,280.0
84,3-105-145/47สป,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้ว เฉพาะที่มีลักษณะตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 629,6,ศรีวิลัย,พุทธรักษา,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,10280.0,,15725000,12,85.0
85,3-105-15/47สป,บริษัท ค้าขยะ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2535) บดย่อยพลาสติก และอัดเศษโลหะ,เลขที่ 258/2,7,อู่วัฒนะ,ปู่เจ้าสมิงพราย,สำโรงกลาง,พระประแดง,สมุทรปราการ,10130.0,0 2394 1456,6400000,7,41.0
86,3-105-15/55สป,บริษัท สยาม อิชิคาวะ เมทัลส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 50/21,1,-,บางนา-ตราด,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,10540.0,02-2348738,26500000,12,74.0
87,3-105-15/60สป,เพิ่มพูนทรัพย์รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 28/59,19,รัตนโชค 12/3,-,บางพลีใหญ่,บางพลี,สมุทรปราการ,10540.0,0 2174 6504,8500000,6,28.0
88,3-105-15/61สป,นางสาวรัชนี เตชะพูลผล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 102251,4,,,สำโรง,พระประแดง,สมุทรปราการ,10130.0,,4800000,7,10.0
